participant,sex,drink,imagery,ratings
1,female,beer,negative,6
2,female,beer,negative,30
3,female,beer,negative,15
4,female,beer,negative,30
5,female,beer,negative,12
6,female,beer,negative,17
7,female,beer,negative,21
8,female,beer,negative,23
9,female,beer,negative,20
10,female,beer,negative,27
11,male,beer,negative,-19
12,male,beer,negative,-18
13,male,beer,negative,-8
14,male,beer,negative,-6
15,male,beer,negative,-6
16,male,beer,negative,-9
17,male,beer,negative,-17
18,male,beer,negative,-12
19,male,beer,negative,-11
20,male,beer,negative,-6
1,female,beer,neutral,5
2,female,beer,neutral,8
3,female,beer,neutral,12
4,female,beer,neutral,19
5,female,beer,neutral,8
6,female,beer,neutral,15
7,female,beer,neutral,21
8,female,beer,neutral,28
9,female,beer,neutral,26
10,female,beer,neutral,27
11,male,beer,neutral,-10
12,male,beer,neutral,6
13,male,beer,neutral,4
14,male,beer,neutral,3
15,male,beer,neutral,0
16,male,beer,neutral,4
17,male,beer,neutral,9
18,male,beer,neutral,-5
19,male,beer,neutral,7
20,male,beer,neutral,13
1,female,water,negative,-14
2,female,water,negative,-10
3,female,water,negative,-16
4,female,water,negative,-10
5,female,water,negative,5
6,female,water,negative,-6
7,female,water,negative,-20
8,female,water,negative,-12
9,female,water,negative,-9
10,female,water,negative,-6
11,male,water,negative,-2
12,male,water,negative,-17
13,male,water,negative,-19
14,male,water,negative,-11
15,male,water,negative,-10
16,male,water,negative,-17
17,male,water,negative,-4
18,male,water,negative,-4
19,male,water,negative,-1
20,male,water,negative,-1
1,female,water,neutral,-2
2,female,water,neutral,-13
3,female,water,neutral,1
4,female,water,neutral,2
5,female,water,neutral,-5
6,female,water,neutral,-13
7,female,water,neutral,3
8,female,water,neutral,2
9,female,water,neutral,4
10,female,water,neutral,0
11,male,water,neutral,9
12,male,water,neutral,5
13,male,water,neutral,0
14,male,water,neutral,4
15,male,water,neutral,2
16,male,water,neutral,8
17,male,water,neutral,10
18,male,water,neutral,8
19,male,water,neutral,12
20,male,water,neutral,10
