participant,gender,drink,imagery,ratings
1,female,wine,negative,-5
3,female,wine,negative,-15
4,female,wine,negative,-4
5,female,wine,negative,-2
7,female,wine,negative,-2
8,female,wine,negative,-7
9,female,wine,negative,-10
10,female,wine,negative,-15
11,male,wine,negative,-13
12,male,wine,negative,-16
13,male,wine,negative,-23
14,male,wine,negative,-22
15,male,wine,negative,-9
16,male,wine,negative,-18
17,male,wine,negative,-17
18,male,wine,negative,-15
19,male,wine,negative,-14
20,male,wine,negative,-15
1,female,wine,neutral,4
3,female,wine,neutral,6
4,female,wine,neutral,0
5,female,wine,neutral,6
7,female,wine,neutral,16
8,female,wine,neutral,7
9,female,wine,neutral,12
10,female,wine,neutral,14
11,male,wine,neutral,13
12,male,wine,neutral,19
13,male,wine,neutral,14
14,male,wine,neutral,21
15,male,wine,neutral,19
16,male,wine,neutral,7
17,male,wine,neutral,12
18,male,wine,neutral,18
19,male,wine,neutral,20
20,male,wine,neutral,15
1,female,water,negative,-14
3,female,water,negative,-16
4,female,water,negative,-10
5,female,water,negative,5
7,female,water,negative,-20
8,female,water,negative,-12
9,female,water,negative,-9
10,female,water,negative,-6
11,male,water,negative,-2
12,male,water,negative,-17
13,male,water,negative,-19
14,male,water,negative,-11
15,male,water,negative,-10
16,male,water,negative,-17
17,male,water,negative,-4
18,male,water,negative,-4
19,male,water,negative,-1
20,male,water,negative,-1
1,female,water,neutral,-2
3,female,water,neutral,1
4,female,water,neutral,2
5,female,water,neutral,-5
7,female,water,neutral,3
8,female,water,neutral,2
9,female,water,neutral,4
10,female,water,neutral,0
11,male,water,neutral,9
12,male,water,neutral,5
13,male,water,neutral,0
14,male,water,neutral,4
15,male,water,neutral,2
16,male,water,neutral,8
17,male,water,neutral,10
18,male,water,neutral,8
19,male,water,neutral,12
20,male,water,neutral,10
