participant,gender,drink,imagery,ratings
1,female,wine,negative,-5
1,female,wine,neutral,4
1,female,water,negative,-14
1,female,water,neutral,-2
3,female,wine,negative,-15
3,female,wine,neutral,6
3,female,water,negative,-16
3,female,water,neutral,1
4,female,wine,negative,-4
4,female,wine,neutral,0
4,female,water,negative,-10
4,female,water,neutral,2
5,female,wine,negative,-2
5,female,wine,neutral,6
5,female,water,negative,5
5,female,water,neutral,-5
7,female,wine,negative,-2
7,female,wine,neutral,16
7,female,water,negative,-20
7,female,water,neutral,3
8,female,wine,negative,-7
8,female,wine,neutral,7
8,female,water,negative,-12
8,female,water,neutral,2
9,female,wine,negative,-10
9,female,wine,neutral,12
9,female,water,negative,-9
9,female,water,neutral,4
10,female,wine,negative,-15
10,female,wine,neutral,14
10,female,water,negative,-6
10,female,water,neutral,0
11,male,wine,negative,-13
11,male,wine,neutral,13
11,male,water,negative,-2
11,male,water,neutral,9
12,male,wine,negative,-16
12,male,wine,neutral,19
12,male,water,negative,-17
12,male,water,neutral,5
13,male,wine,negative,-23
13,male,wine,neutral,14
13,male,water,negative,-19
13,male,water,neutral,0
14,male,wine,negative,-22
14,male,wine,neutral,21
14,male,water,negative,-11
14,male,water,neutral,4
15,male,wine,negative,-9
15,male,wine,neutral,19
15,male,water,negative,-10
15,male,water,neutral,2
16,male,wine,negative,-18
16,male,wine,neutral,7
16,male,water,negative,-17
16,male,water,neutral,8
17,male,wine,negative,-17
17,male,wine,neutral,12
17,male,water,negative,-4
17,male,water,neutral,10
18,male,wine,negative,-15
18,male,wine,neutral,18
18,male,water,negative,-4
18,male,water,neutral,8
19,male,wine,negative,-14
19,male,wine,neutral,20
19,male,water,negative,-1
19,male,water,neutral,12
20,male,wine,negative,-15
20,male,wine,neutral,15
20,male,water,negative,-1
20,male,water,neutral,10
